Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
275,Aleksandar Mitrović,FW,Serbia,29,1994,3,3,240,2.7,0,0,0,0,0,0,1,0,1.2,1.2,0.0,1.2,0,2,10,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44
276,Maximilian Mittelstädt,DF,Germany,26,1997,4,3,304,3.4,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.6,8,10,39,0.00,0.30,0.30,0.00,0.30,0.04,0.14,0.18,0.04,0.18
277,Filip Mladenović,DF,Serbia,32,1991,3,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
278,Jan Mlakar,MF,Slovenia,25,1998,4,4,295,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,5,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04
279,Jakub Moder,MF,Poland,24,1999,3,1,180,2.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,2,8,4,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.32,0.32,0.32
280,Luka Modrić,MF,Croatia,38,1985,3,3,233,2.6,1,0,1,1,0,1,1,0,1.0,0.1,0.6,0.7,11,21,8,0.39,0.00,0.39,0.39,0.39,0.37,0.25,0.62,0.03,0.28
281,Vasile Mogos,DF,Romania,31,1992,1,1,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
282,Álvaro Morata,FW,Spain,31,1992,7,6,449,5.0,1,1,2,1,0,0,2,0,1.5,1.5,0.5,2.0,4,6,27,0.20,0.20,0.40,0.20,0.40,0.30,0.10,0.39,0.30,0.39
283,Lewis Morgan,DF,Scotland,27,1996,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,1.79,0.00,1.79,1.79,1.79
284,Ernest Muçi,FW,Albania,22,2001,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
285,Mykhailo Mudryk,"FW,MF",Ukraine,23,2001,2,2,174,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.9,11,7,16,0.00,0.00,0.00,0.00,0.00,0.23,0.22,0.44,0.23,0.44
286,Mert Müldür,"DF,MF",Türkiye,24,1999,4,4,345,3.8,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,11,12,13,0.26,0.00,0.26,0.26,0.26,0.14,0.01,0.15,0.14,0.15
287,Thomas Müller,"MF,FW",Germany,34,1989,2,0,58,0.6,0,1,1,0,0,0,0,0,0.4,0.4,0.3,0.7,2,3,8,0.00,1.55,1.55,0.00,1.55,1.19,0.99,2.17,1.19,2.17
288,Jamal Musiala,FW,Germany,20,2003,5,5,419,4.7,3,0,3,3,0,0,0,0,1.0,1.0,0.2,1.3,28,22,34,0.64,0.00,0.64,0.64,0.64,0.24,0.05,0.29,0.24,0.29
289,Phillipp Mwene,DF,Austria,30,1994,3,3,194,2.2,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,6,7,18,0.00,0.46,0.46,0.00,0.46,0.00,0.05,0.05,0.00,0.05
290,Vitaliy Mykolenko,DF,Ukraine,24,1999,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18
291,Joakim Mæhle,"DF,MF",Denmark,26,1997,4,3,283,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,12,10,21,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16
292,Nacho,DF,Spain,34,1990,4,2,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
293,Ádám Nagy,MF,Hungary,28,1995,3,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
294,Zsolt Nagy,DF,Hungary,30,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
295,Jesús Navas,DF,Spain,38,1985,3,2,157,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,6,0,11,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12
296,Dan Ndoye,"MF,DF",Switzerland,23,2000,5,5,407,4.5,1,0,1,1,0,0,1,0,1.6,1.6,0.1,1.7,20,9,31,0.22,0.00,0.22,0.22,0.22,0.34,0.03,0.37,0.34,0.37
297,Pedro Neto,"DF,FW",Portugal,23,2000,3,1,120,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,16,5,19,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
298,Manuel Neuer,GK,Germany,37,1986,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
299,João Neves,MF,Portugal,19,2004,2,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,3,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
300,Rúben Neves,MF,Portugal,26,1997,4,0,125,1.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,3,12,6,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12
301,Florin Niță,GK,Romania,36,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
302,Matheus Nunes,MF,Portugal,25,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,1,1,0.00,0.00,0.00,0.00,0.00,1.41,0.12,1.54,1.41,1.54
303,Christian Nørgaard,MF,Denmark,29,1994,3,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
304,Adam Obert,DF,Slovakia,21,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
305,Jan Oblak,GK,Slovenia,31,1993,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
306,Darius Olaru,MF,Romania,25,1998,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
307,Dani Olmo,"MF,FW",Spain,25,1998,6,3,432,4.8,3,2,5,3,0,0,1,0,1.7,1.7,1.3,3.0,21,21,32,0.62,0.42,1.04,0.62,1.04,0.38,0.30,0.68,0.38,0.68
308,Amadou Onana,MF,Belgium,22,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,17,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
309,Loïs Openda,FW,Belgium,23,2000,3,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
