right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
375,Jesús Navas,https://fbref.com/en/players/3f10bd22/Jesus-Navas,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,38-233,1985,2.7,3.00,,3,157,https://fbref.com/en/players/3f10bd22/matchlogs/2024/summary/Jesus-Navas-Match-Logs,52,27.5,1.7,2,74,,1,1,10,+0.19,+0.88,+3,3,+1.5,+0.19,+1.72,4,1.2,1,,,
376,Dan Ndoye,https://fbref.com/en/players/8e697a8f/Dan-Ndoye,"MF,DF",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,23-260,2000,0,5.4,0,5,407,https://fbref.com/en/players/8e697a8f/matchlogs/2024/summary/Dan-Ndoye-Match-Logs,81,84.8,4.5,5,81,0,1.80,7,3,-0.06,+0.33,+4,3.9,+1.5,+0.88,+0.88,,,,,,
377,Ionuț Nedelcearu,https://fbref.com/en/players/7e40455a/Ionut-Nedelcearu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,28-077,1996,0,0,0,0,4,https://fbref.com/en/players/7e40455a/matchlogs/2024/summary/Ionut-Nedelcearu-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
378,Loïc Nego,https://fbref.com/en/players/c3b6fa1e/Loic-Nego,"DF,MF",hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,33-178,1991,0,0,0,0,3,https://fbref.com/en/players/c3b6fa1e/matchlogs/2024/summary/Loic-Nego-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
379,Pedro Neto,https://fbref.com/en/players/7ba2eaa9/Pedro-Neto,"DF,FW",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-124,2000,23,2.8,0,3,120,https://fbref.com/en/players/7ba2eaa9/matchlogs/2024/summary/Pedro-Neto-Match-Logs,40,1.3,2,1,2,0,2,2,1.7,,,+1.1,,23.5,74,,-0.46,,-0.06,,2.00,+0.84
380,Manuel Neuer,https://fbref.com/en/players/8778c910/Manuel-Neuer,GK,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,38-106,1986,0,9.7,0,5,480,https://fbref.com/en/players/8778c910/matchlogs/2024/summary/Manuel-Neuer-Match-Logs,96,100.0,5.3,5,96,,2.00,5,11,,+1.07,+7,4,+1.07,+5.3,+1.31,4.4,,,,,
381,João Neves,https://fbref.com/en/players/c2a15a27/Joao-Neves,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,19-288,2004,3,1.1,0,2,77,https://fbref.com/en/players/c2a15a27/matchlogs/2024/summary/Joao-Neves-Match-Logs,39,0.9,3,1,2,0,1,1.6,,-2,-0.5,-1.77,,15.1,74,,-2.34,,-3.17,-0.62,1.50,
382,Rúben Neves,https://fbref.com/en/players/44bfb6c5/Ruben-Neves,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-120,1997,0,,0,4,125,https://fbref.com/en/players/44bfb6c5/matchlogs/2024/summary/Ruben-Neves-Match-Logs,31,1.4,1,4,1,0,3.7,1,1.9,,,+1.8,,24.5,31,,-0.47,,,+1.13,1.25,+1.81
383,Florin Niță,https://fbref.com/en/players/a9a3b55d/Florin-Nita,GK,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,37-008,1987,0,3.5,0,4,360,https://fbref.com/en/players/a9a3b55d/matchlogs/2024/summary/Florin-Nita-Match-Logs,90,100.0,4.0,4,90,,1.00,4,4,-2,-0.50,,6,-2.6,-0.66,,6.1,,,,,
384,Matheus Nunes,https://fbref.com/en/players/e6af02e0/Matheus-Nunes,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-319,1998,0,,0,2,18,https://fbref.com/en/players/e6af02e0/matchlogs/2024/summary/Matheus-Nunes-Match-Logs,9,0.2,3,2,,0,1.3,0.0,,,,+1.2,,3.5,9,,-0.37,0,,+6.17,0.50,+6.86
385,Christian Nørgaard,https://fbref.com/en/players/df0a4c90/Christian-Norgaard,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,30-123,1994,0,,0,3,38,https://fbref.com/en/players/df0a4c90/matchlogs/2024/summary/Christian-Norgaard-Match-Logs,13,0.4,1,3,0.4,0,0.7,,,,+0.91,+0.3,,10.6,13,,,0,,+0.70,0.67,+0.56
386,Adam Obert,https://fbref.com/en/players/aa25ce92/Adam-Obert,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,21-323,2002,0,,0,2,25,https://fbref.com/en/players/aa25ce92/matchlogs/2024/summary/Adam-Obert-Match-Logs,13,0.3,2,2,1,0,0.2,0.4,,-1,-0.1,-0.21,,6.4,13,,-3.60,,-3.60,-0.51,1.50,
387,Jan Oblak,https://fbref.com/en/players/ee8508c0/Jan-Oblak,GK,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,31-186,1993,0,3.2,0,4,390,https://fbref.com/en/players/ee8508c0/matchlogs/2024/summary/Jan-Oblak-Match-Logs,98,100.0,4.3,4,98,0,1.00,4,2,-2.9,-0.71,,2,-0.71,,,6.1,0.00,,,,
388,Noah Okafor,https://fbref.com/en/players/ca607d59/Noah-Okafor,"FW,MF",ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,24-048,2000,0,0,0,0,5,https://fbref.com/en/players/ca607d59/matchlogs/2024/summary/Noah-Okafor-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
389,Darius Olaru,https://fbref.com/en/players/9a129e64/Darius-Olaru,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-130,1998,0,,0,2,26,https://fbref.com/en/players/9a129e64/matchlogs/2024/summary/Darius-Olaru-Match-Logs,13,0.3,2,2,2,0,0.5,0.9,,-2,-0.4,-0.88,,7.2,13,0.00,-6.92,,-6.92,-1.48,,
390,Dani Olmo,https://fbref.com/en/players/ae44e8e2/Dani-Olmo,"MF,FW",es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,26-065,1998,5.3,3.00,0,5,342,https://fbref.com/en/players/ae44e8e2/matchlogs/2024/summary/Dani-Olmo-Match-Logs,68,60.0,3.8,2,79,,3,61,1,-0.66,-1.11,+5,7,+0.24,+0.8,+1.32,2,,4.5,,,
391,Amadou Onana,https://fbref.com/en/players/828657ff/Amadou-Onana,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,22-330,2001,0,4.5,0,4,360,https://fbref.com/en/players/828657ff/matchlogs/2024/summary/Amadou-Onana-Match-Logs,90,100.0,4.0,4,90,0,1.00,4,2,,,+1.1,2,,,+0.28,3.4,0.00,,,,
392,Loïs Openda,https://fbref.com/en/players/8652a85c/Lois-Openda,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,24-146,2000,4,0.3,0,3,70,https://fbref.com/en/players/8652a85c/matchlogs/2024/summary/Lois-Openda-Match-Logs,23,0.8,1,1,1.0,0,2,,,-0.7,0.00,,,19.4,62,,-0.90,0,-1.46,,0.33,
393,Willi Orban,https://fbref.com/en/players/20030c06/Willi-Orban,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,31-251,1992,0,3.7,0,3,270,https://fbref.com/en/players/20030c06/matchlogs/2024/summary/Willi-Orban-Match-Logs,90,100.0,3.0,3,90,,1.00,3,2,-3,-1.00,,5,-0.2,-0.07,,3.9,,,,,
394,Mikel Oyarzabal,https://fbref.com/en/players/8c3c640c/Mikel-Oyarzabal,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-081,1997,4.0,3.00,0,6,178,https://fbref.com/en/players/8c3c640c/matchlogs/2024/summary/Mikel-Oyarzabal-Match-Logs,30,31.2,2.0,1,61,0,5,23,4,-0.09,+0.27,+3,1,+0.94,+1.5,+1.52,2.5,,,,,
395,Salih Özcan,https://fbref.com/en/players/15413fa5/Salih-Ozcan,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-182,1998,2.0,2.25,0,4,155,https://fbref.com/en/players/15413fa5/matchlogs/2024/summary/Salih-Ozcan-Match-Logs,39,34.4,1.7,2,61,0,2,17,1,-1.7,-0.96,,3,-0.97,,,3,0.00,3.7,,,
396,João Palhinha,https://fbref.com/en/players/a78ff07f/Joao-Palhinha,MF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-002,1995,0,4.0,,4,299,https://fbref.com/en/players/a78ff07f/matchlogs/2024/summary/Joao-Palhinha-Match-Logs,75,58.6,3.3,4,75,,1.25,1,1,-0.13,-0.62,+1,2,+0.59,+1.8,+0.30,1,,2.2,,,
397,Cole Palmer,https://fbref.com/en/players/dc7f8a28/Cole-Palmer,"MF,FW",eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,22-066,2002,0,,0,4,128,https://fbref.com/en/players/dc7f8a28/matchlogs/2024/summary/Cole-Palmer-Match-Logs,32,1.4,2,4,4,0,1.6,1.4,,+0.34,+0.34,+4,,21.3,32,+0.3,,,,+3.00,2.00,+2.81
398,Marco Pašalić,https://fbref.com/en/players/1866b0f1/Marco-Pasalic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,23-301,2000,0,0,0,0,3,https://fbref.com/en/players/1866b0f1/matchlogs/2024/summary/Marco-Pasalic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
399,Mario Pašalić,https://fbref.com/en/players/e599253a/Mario-Pasalic,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-153,1995,36,3.3,0,3,116,https://fbref.com/en/players/e599253a/matchlogs/2024/summary/Mario-Pasalic-Match-Logs,39,1.3,2,1,1,0,2,1.0,,+2.24,+1.72,+1,,43.0,45,+2.2,,,,+3.11,0.67,+0.78
400,Rui Patrício,https://fbref.com/en/players/79b0d6a0/Rui-Patricio,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,36-147,1988,0,0,0,0,5,https://fbref.com/en/players/79b0d6a0/matchlogs/2024/summary/Rui-Patricio-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
401,Benjamin Pavard,https://fbref.com/en/players/45a03961/Benjamin-Pavard,DF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-105,1996,0,0,0,0,6,https://fbref.com/en/players/45a03961/matchlogs/2024/summary/Benjamin-Pavard-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
402,Strahinja Pavlović,https://fbref.com/en/players/25146df0/Strahinja-Pavlovic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,23-048,2001,0,2.1,0,3,270,https://fbref.com/en/players/25146df0/matchlogs/2024/summary/Strahinja-Pavlovic-Match-Logs,90,100.0,3.0,3,90,,0.67,3,1,-1,-0.33,,2,-0.5,-0.15,,2.6,,,,,
403,Pedri,https://fbref.com/en/players/0d9b2d31/Pedri,MF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,21-229,2002,0,5.2,0,4,186,https://fbref.com/en/players/0d9b2d31/matchlogs/2024/summary/Pedri-Match-Logs,47,32.6,2.1,4,47,,3.00,1,6,+1.63,+1.84,+5,1,+3.8,+1.25,+2.42,1.4,,,,,
404,Peter Pekarík,https://fbref.com/en/players/c18d22f5/Peter-Pekarik,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,37-255,1986,0,4.1,0,4,377,https://fbref.com/en/players/c18d22f5/matchlogs/2024/summary/Peter-Pekarik-Match-Logs,94,96.7,4.2,4,94,,1.00,2,4,-1,-0.24,-1.37,5,-0.24,-1.5,-0.36,5.7,,,,,
405,Lorenzo Pellegrini,https://fbref.com/en/players/4a5a45c7/Lorenzo-Pellegrini,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,28-022,1996,2.1,1.00,0,4,218,https://fbref.com/en/players/4a5a45c7/matchlogs/2024/summary/Lorenzo-Pellegrini-Match-Logs,55,60.6,2.4,3,67,0,1,16,2,-0.1,-0.04,+1.27,2,,,+0.77,2.2,0,,,,
406,Patrick Pentz,https://fbref.com/en/players/0810b6df/Patrick-Pentz,GK,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,27-191,1997,0,6.9,0,4,360,https://fbref.com/en/players/0810b6df/matchlogs/2024/summary/Patrick-Pentz-Match-Logs,90,100.0,4.0,4,90,,1.50,4,7,,,+1,6,+0.17,+0.7,+0.25,6.3,,,,,
407,Pepe,https://fbref.com/en/players/c906ce0f/Pepe,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,41-136,1983,0,7.3,,4,408,https://fbref.com/en/players/c906ce0f/matchlogs/2024/summary/Pepe-Match-Logs,102,80.0,4.5,4,102,,2.00,2,1,+0.65,+1.05,+4,5,+4.4,+2.65,+0.88,1,,2.8,,,
408,Danilo Pereira,https://fbref.com/en/players/8fd9996f/Danilo-Pereira,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,32-306,1991,0,,0,1,90,https://fbref.com/en/players/8fd9996f/matchlogs/2024/summary/Danilo-Pereira-Match-Logs,90,1.0,1,1,4,,2.0,2,1.6,-2,,+0.3,,17.6,90,0.00,-2.00,,-2.86,-0.65,,+0.35
409,Ayoze Pérez,https://fbref.com/en/players/819aa8e7/Ayoze-Perez,FW,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,30-348,1993,0,,0,1,13,https://fbref.com/en/players/819aa8e7/matchlogs/2024/summary/Ayoze-Perez-Match-Logs,13,0.1,4,1,0.1,0,0.4,,,,,+0.3,,2.3,13,,-1.62,0,,+1.44,3.00,+2.15
410,Ivan Perišić,https://fbref.com/en/players/6fe90922/Ivan-Perisic,"DF,FW",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,35-160,1989,28,3.3,0,3,139,https://fbref.com/en/players/6fe90922/matchlogs/2024/summary/Ivan-Perisic-Match-Logs,46,1.5,2,1,2,0,2,1.4,,,+1.56,+1.9,,51.5,83,,,0,,+1.20,0.67,+2.06
411,Bruno Petković,https://fbref.com/en/players/24228180/Bruno-Petkovic,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-299,1994,19,2.3,0,2,87,https://fbref.com/en/players/24228180/matchlogs/2024/summary/Bruno-Petkovic-Match-Logs,44,1.0,1,1,1,0,1,1.0,,-1,,+1.3,,32.2,68,,-1.03,,-0.05,+1.28,0.50,+1.31
412,Đorđe Petrović,https://fbref.com/en/players/0cf321c8/Djordje-Petrovic,GK,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,24-277,1999,0,0,0,0,3,https://fbref.com/en/players/0cf321c8/matchlogs/2024/summary/Djordje-Petrovic-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
413,Krzysztof Piątek,https://fbref.com/en/players/17f3620a/Krzysztof-Piatek,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-010,1995,0,,0,1,59,https://fbref.com/en/players/17f3620a/matchlogs/2024/summary/Krzysztof-Piatek-Match-Logs,59,0.7,2,1,1,0,1.1,1,0.7,,+1.58,+0.4,,21.9,59,0.00,,,,+0.64,,+1.28
414,Jordan Pickford,https://fbref.com/en/players/4806ec67/Jordan-Pickford,GK,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,30-126,1994,0,5.5,0,6,600,https://fbref.com/en/players/4806ec67/matchlogs/2024/summary/Jordan-Pickford-Match-Logs,100,100.0,6.7,6,100,,2.00,6,7,,+0.04,+3,4,+0.04,+0.2,+0.45,5.3,,,,,
415,Jakub Piotrowski,https://fbref.com/en/players/af686bed/Jakub-Piotrowski,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,26-281,1997,13,1.9,0,2,58,https://fbref.com/en/players/af686bed/matchlogs/2024/summary/Jakub-Piotrowski-Match-Logs,29,0.6,1,1,1,,1,2,0.7,-1,,+1.2,,21.5,45,0.00,-1.55,,-0.70,+3.18,,+1.90
416,Marko Pjaca,https://fbref.com/en/players/2c38b327/Marko-Pjaca,"FW,MF",hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,29-066,1995,0,0,0,0,3,https://fbref.com/en/players/2c38b327/matchlogs/2024/summary/Marko-Pjaca-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
417,Marin Pongračić,https://fbref.com/en/players/2a6cd437/Marin-Pongracic,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-304,1997,0,3.1,,2,180,https://fbref.com/en/players/2a6cd437/matchlogs/2024/summary/Marin-Pongracic-Match-Logs,90,66.7,2.0,2,90,,0.50,2,1,-3,-1.50,+0.2,1,-1.50,-1.08,+0.08,4,,2.9,,,
418,Ryan Porteous,https://fbref.com/en/players/514725a0/Ryan-Porteous,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,25-108,1999,0,0.0,0,1,43,https://fbref.com/en/players/514725a0/matchlogs/2024/summary/Ryan-Porteous-Match-Logs,43,0.5,2,1,0.5,0,,,,-2,-0.5,,,15.9,43,0.00,-4.19,0,-3.00,-1.06,,+0.12
419,Stefan Posch,https://fbref.com/en/players/7f609bfc/Stefan-Posch,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,27-058,1997,0,6.9,0,4,360,https://fbref.com/en/players/7f609bfc/matchlogs/2024/summary/Stefan-Posch-Match-Logs,90,100.0,4.0,4,90,,1.50,4,7,,,+1,6,+0.17,+0.7,+0.25,6.3,,,,,
420,Yussuf Poulsen,https://fbref.com/en/players/d2416c2e/Yussuf-Poulsen,"FW,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,30-026,1994,0,,0,4,57,https://fbref.com/en/players/d2416c2e/matchlogs/2024/summary/Yussuf-Poulsen-Match-Logs,14,0.6,0.7,4,0.0,0,0.7,0,,,+0.18,,,15.8,14,,,0,,+0.03,0.75,+0.59
421,Alexander Prass,https://fbref.com/en/players/6637e6a7/Alexander-Prass,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-046,2001,5.0,1.50,0,4,166,https://fbref.com/en/players/6637e6a7/matchlogs/2024/summary/Alexander-Prass-Match-Logs,42,46.1,1.8,1,90,,3,1,25,+2.26,+1.38,+3,6,+2.5,+2.55,+1.63,3,,2.5,,,
422,Lukáš Provod,https://fbref.com/en/players/8f21b7bd/Lukas-Provod,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,27-262,1996,0,4.5,0,3,232,https://fbref.com/en/players/8f21b7bd/matchlogs/2024/summary/Lukas-Provod-Match-Logs,77,85.9,2.6,3,77,0,0.33,3,3,,,+4.74,3.0,+2.45,+0.58,+1.5,,0,,,,
423,Tymoteusz Puchacz,https://fbref.com/en/players/c68b1b13/Tymoteusz-Puchacz,"DF,MF",pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-170,1999,0,0,0,0,3,https://fbref.com/en/players/c68b1b13/matchlogs/2024/summary/Tymoteusz-Puchacz-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
424,George Pușcaș,https://fbref.com/en/players/c23c8e0d/George-Puscas,FW,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,28-094,1996,0,0.0,0,2,40,https://fbref.com/en/players/c23c8e0d/matchlogs/2024/summary/George-Puscas-Match-Logs,20,0.4,2,2,0.4,0,,,,-0.4,,,,11.1,20,,-0.89,0,-0.26,,2.00,+0.56
425,Leopold Querfeld,https://fbref.com/en/players/9fd158d6/Leopold-Querfeld,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,20-204,2003,0,,0,1,27,https://fbref.com/en/players/9fd158d6/matchlogs/2024/summary/Leopold-Querfeld-Match-Logs,27,0.3,3,1,1,0,0.1,1,0.2,-0.1,,,,7.5,27,,-0.27,,-0.24,-0.44,3.00,
426,Adrien Rabiot,https://fbref.com/en/players/8794e251/Adrien-Rabiot,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,29-099,1995,0,7.0,0,5,371,https://fbref.com/en/players/8794e251/matchlogs/2024/summary/Adrien-Rabiot-Match-Logs,74,65.1,4.1,5,74,,1.60,2,4,+1.54,+1.13,+2,2,+4.7,+0.94,+0.49,2.4,,,,,
427,Bogdan Racovitan,https://fbref.com/en/players/f3e2f544/Bogdan-Racovitan,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,24-035,2000,0,,0,2,57,https://fbref.com/en/players/f3e2f544/matchlogs/2024/summary/Bogdan-Racovitan-Match-Logs,29,0.6,2,2,2,0,0.1,2.5,,-2,-2.4,-3.69,,15.8,29,,-3.16,,-3.16,-3.77,1.50,
428,Predrag Rajković,https://fbref.com/en/players/58ad9383/Predrag-Rajkovic,GK,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,28-254,1995,0,2.1,0,3,270,https://fbref.com/en/players/58ad9383/matchlogs/2024/summary/Predrag-Rajkovic-Match-Logs,90,100.0,3.0,3,90,,0.67,3,1,-1,-0.33,,2,-0.5,-0.15,,2.6,,,,,
429,Anthony Ralston,https://fbref.com/en/players/56208b05/Anthony-Ralston,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,25-238,1998,0,0.8,0,3,262,https://fbref.com/en/players/56208b05/matchlogs/2024/summary/Anthony-Ralston-Match-Logs,87,97.0,2.9,3,87,,0.33,2,2,-4,-1.37,+9.88,6,-2.8,-0.97,+6.45,3.6,,,,,
430,Ylber Ramadani,https://fbref.com/en/players/ef3c876b/Ylber-Ramadani,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,28-090,1996,0,2.0,0,3,264,https://fbref.com/en/players/ef3c876b/matchlogs/2024/summary/Ylber-Ramadani-Match-Logs,88,97.8,2.9,3,88,,0.33,2,2,-3,-1.02,-4.89,5,-16.02,-3.5,-1.18,5.4,,,,,
431,Gonçalo Ramos,https://fbref.com/en/players/f63cda26/Goncalo-Ramos,FW,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,23-021,2001,0,,0,1,25,https://fbref.com/en/players/f63cda26/matchlogs/2024/summary/Goncalo-Ramos-Match-Logs,25,0.3,4,1,0.1,0,1.2,,,,,+1.1,,4.9,25,0.00,-0.37,0,,+3.32,,+4.04
432,Aaron Ramsdale,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale,GK,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,26-058,1998,0,0,0,0,6,https://fbref.com/en/players/466fb2c5/matchlogs/2024/summary/Aaron-Ramsdale-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
433,Giacomo Raspadori,https://fbref.com/en/players/6e058f06/Giacomo-Raspadori,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-144,2000,9,0.9,0,2,83,https://fbref.com/en/players/6e058f06/matchlogs/2024/summary/Giacomo-Raspadori-Match-Logs,42,0.9,2,1,1,0,1,1.2,,-1,-0.3,,,23.1,74,,-1.08,,-0.76,-0.31,0.50,+0.05
434,Andrei Ratiu,https://fbref.com/en/players/b1b99435/Andrei-Ratiu,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-021,1998,0,3.5,0,4,359,https://fbref.com/en/players/b1b99435/matchlogs/2024/summary/Andrei-Ratiu-Match-Logs,90,99.7,4.0,4,90,,1.00,3,4,-2,-0.50,-2.18,6,-0.50,-2.7,-0.67,6.1,,,,,
435,Petar Ratkov,https://fbref.com/en/players/f446748f/Petar-Ratkov,FW,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,20-328,2003,0,0,0,0,3,https://fbref.com/en/players/f446748f/matchlogs/2024/summary/Petar-Ratkov-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
436,David Raum,https://fbref.com/en/players/7d450ed3/David-Raum,DF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,26-080,1998,3.4,1.33,0,3,166,https://fbref.com/en/players/7d450ed3/matchlogs/2024/summary/David-Raum-Match-Logs,55,34.6,1.8,2,68,,1,30,2,-0.35,-0.06,+2,3,+0.96,+1.8,+1.08,1,,1.6,,,
437,Henrich Ravas,https://fbref.com/en/players/7ad32ae1/Henrich-Ravas,GK,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-330,1997,0,0,0,0,4,https://fbref.com/en/players/7ad32ae1/matchlogs/2024/summary/Henrich-Ravas-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
438,David Raya,https://fbref.com/en/players/98ea5115/David-Raya,GK,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,28-300,1995,0,,0,1,90,https://fbref.com/en/players/98ea5115/matchlogs/2024/summary/David-Raya-Match-Logs,90,1.0,1,1,5,,1.5,1,0.5,,+0.33,+1,,15.8,90,+1.0,-0.69,,,+1.02,3.00,+1.00
439,Tijjani Reijnders,https://fbref.com/en/players/afb61630/Tijjani-Reijnders,MF,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,25-348,1998,0,7.7,0,6,496,https://fbref.com/en/players/afb61630/matchlogs/2024/summary/Tijjani-Reijnders-Match-Logs,83,91.9,5.5,6,83,,1.67,4,8,-1.68,+1.42,+2,6,+0.38,+2.1,+0.36,5.6,,,,,
440,Álex Remiro,https://fbref.com/en/players/374ee424/Alex-Remiro,GK,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,29-109,1995,0,0,0,0,6,https://fbref.com/en/players/374ee424/matchlogs/2024/summary/Alex-Remiro-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
441,Mateo Retegui,https://fbref.com/en/players/e7695e6c/Mateo-Retegui,FW,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-073,1999,1.6,1.00,0,4,152,https://fbref.com/en/players/e7695e6c/matchlogs/2024/summary/Mateo-Retegui-Match-Logs,38,42.2,1.7,1,90,0,3,1,21,-0.2,-0.12,+0.87,1,,,+0.40,1,0.00,1.8,,,
442,Declan Rice,https://fbref.com/en/players/1c7012b8/Declan-Rice,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,25-179,1999,0,5.5,0,6,600,https://fbref.com/en/players/1c7012b8/matchlogs/2024/summary/Declan-Rice-Match-Logs,100,100.0,6.7,6,100,,2.00,6,7,,+0.04,+3,4,+0.04,+0.2,+0.45,5.3,,,,,
443,Fabian Rieder,https://fbref.com/en/players/c2bd8585/Fabian-Rieder,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,22-146,2002,2.8,1.80,0,5,218,https://fbref.com/en/players/c2bd8585/matchlogs/2024/summary/Fabian-Rieder-Match-Logs,44,45.4,2.4,3,66,0,2,11,4,+0.40,+0.56,+4,1.4,+1.4,+1.65,+1.65,,0,,,,
